"variable","categoria","n","pct"
"tradicional","0",4838,94.1
"tradicional","1",305,5.9
"gradonac","0",2428,47.2
"gradonac","1",2134,41.5
"gradonac","99",581,11.3
"ideologia","1",414,8
"ideologia","2",414,8
"ideologia","3",2237,43.5
"ideologia","4",2078,40.4
"grupo_representativo_1","1",175,3.4
"grupo_representativo_1","2",103,2
"grupo_representativo_1","3",40,0.8
"grupo_representativo_1","4",46,0.9
"grupo_representativo_1","5",17,0.3
"grupo_representativo_1","6",10,0.2
"grupo_representativo_1","7",196,3.8
"grupo_representativo_1","98",979,19
"grupo_representativo_1","99",3577,69.6
"grupo_representativo_2","1",21,0.4
"grupo_representativo_2","2",13,0.3
"grupo_representativo_2","3",1,0
"grupo_representativo_2","4",1,0
"grupo_representativo_2","5",25,0.5
"grupo_representativo_2","6",11,0.2
"grupo_representativo_2","98",3056,59.4
"grupo_representativo_2","99",2015,39.2
