"k","WSS","Silhouette","Calinski_Harabasz"
2,130983.957540401,0.27972661973776,913.563283331857
3,122471.9108397,0.247993971346903,667.054090968985
4,115874.935608651,0.294283947250493,567.453306151987
5,108958.937765503,0.300642257287624,534.047189158515
6,102334.186398333,0.304579053139196,521.317291686147
7,99223.2024653834,0.289583887705818,474.803246856468
8,92186.1896853696,0.341194879816257,493.95222721389
9,87778.3396081146,0.351484644736276,486.04935739576
10,82839.7040706032,0.358915477861543,491.713193633913
