"Variable","n_missing"
"justificacion_gr_2",5143
"fuente_gr",5094
"paso2_gr",5070
"fuente_ideologia",4808
"justificacion_gr_1",4558
"paso1_gr",4556
"paso_ideologia",3773
"justificacion_ideologia",3773
"partidos_coalicion",2215
"codigo_partido",0
"nombre",0
"coalicion",0
"tradicional",0
"temporalidad",0
"gradonac",0
"ideologia",0
"grupo_representativo_1",0
"grupo_representativo_2",0
"part_alcaldia",0
"part_asamblea",0
"part_camara",0
"part_concejo",0
"part_gobernacion",0
"part_presidencia",0
"part_presidencia_1v",0
"part_presidencia_2v",0
"part_senado",0
