"Componente","Eigenvalue","Varianza","Acumulada"
"PC1",4.90364650541539,0.163454883513845,0.163454883513845
"PC2",2.408970111008,0.0802990037002658,0.24375388721411
"PC3",1.98989901901572,0.0663299673005234,0.310083854514634
"PC4",1.64547146030264,0.0548490486767541,0.364932903191388
"PC5",1.33769511179825,0.0445898370599413,0.409522740251329
"PC6",1.21597837618141,0.0405326125393799,0.450055352790709
"PC7",1.15779242251433,0.0385930807504773,0.488648433541186
"PC8",1.1456797297473,0.0381893243249095,0.526837757866096
"PC9",1.04846100240561,0.0349487000801868,0.561786457946283
"PC10",1.02552214481888,0.0341840714939622,0.595970529440245
"PC11",1.0039359452265,0.0334645315075495,0.629435060947794
"PC12",1.00234687427009,0.0334115624756695,0.662846623423464
"PC13",1.00104250027208,0.0333680833424022,0.696214706765866
"PC14",1.00005205338252,0.0333350684460838,0.72954977521195
"PC15",0.990565425389685,0.0330188475129892,0.762568622724939
"PC16",0.969561006119331,0.0323187002039774,0.794887322928917
"PC17",0.89807889989953,0.029935963329984,0.8248232862589
"PC18",0.89124562408433,0.0297081874694774,0.854531473728378
"PC19",0.780228852833463,0.0260076284277819,0.88053910215616
"PC20",0.745905033911962,0.0248635011303985,0.905402603286558
"PC21",0.702356251710299,0.0234118750570097,0.928814478343568
"PC22",0.51164601279691,0.0170548670932302,0.945869345436798
"PC23",0.470355914257091,0.0156785304752362,0.961547875912034
"PC24",0.411280684202446,0.0137093561400814,0.975257232052116
"PC25",0.301649553925788,0.0100549851308595,0.985312217182975
"PC26",0.273700784763023,0.00912335949210069,0.994435576675076
"PC27",0.103364618088177,0.00344548726960588,0.997881063944682
"PC28",0.0510615573411892,0.00170205191137296,0.999583115856055
"PC29",0.00876078543498115,0.000292026181166035,0.999875142037221
"PC30",0.00374573888337407,0.000124857962779135,1
